MODEL NAME,CATEGORY,YEAR NUMBER,MONTH,Total,Color
CBR150,SPORT,Year: 2022,5,11,pink
CBR150,SPORT,Year: 2022,6,10,pink
CBR150,SPORT,Year: 2022,7,7,pink
CBR150,SPORT,Year: 2022,8,13,pink
CBR150,SPORT,Year: 2022,9,11,pink
CBR150,SPORT,Year: 2022,10,7,pink
CBR150,SPORT,Year: 2022,11,4,pink
CBR150,SPORT,Year: 2022,12,4,pink
CBR150,SPORT,Year: 2023,1,3,pink
CBR150,SPORT,Year: 2023,2,4,pink
CBR150,SPORT,Year: 2023,3,8,pink
CBR150,SPORT,Year: 2023,4,16,pink
CBR150,SPORT,Year: 2023,5,6,pink
CBR150R,SPORT,Year: 2022,1,335,pink
CBR150R,SPORT,Year: 2022,2,351,pink
CBR150R,SPORT,Year: 2022,3,320,pink
CBR150R,SPORT,Year: 2022,4,196,pink
CBR150R,SPORT,Year: 2022,5,296,pink
CBR150R,SPORT,Year: 2022,6,298,pink
CBR150R,SPORT,Year: 2022,7,223,pink
CBR150R,SPORT,Year: 2022,8,239,pink
CBR150R,SPORT,Year: 2022,9,182,pink
CBR150R,SPORT,Year: 2022,10,130,pink
CBR150R,SPORT,Year: 2022,11,242,pink
CBR150R,SPORT,Year: 2022,12,252,pink
CBR150R,SPORT,Year: 2023,1,268,pink
CBR150R,SPORT,Year: 2023,2,226,pink
CBR150R,SPORT,Year: 2023,3,197,pink
CBR150R,SPORT,Year: 2023,4,118,pink
CBR150R,SPORT,Year: 2023,5,8,pink
CBR250RR,SPORT,Year: 2022,1,13,pink
CBR250RR,SPORT,Year: 2022,2,7,pink
CBR250RR,SPORT,Year: 2022,3,45,pink
CBR250RR,SPORT,Year: 2022,4,20,pink
CBR250RR,SPORT,Year: 2022,5,48,pink
CBR250RR,SPORT,Year: 2022,6,40,pink
CBR250RR,SPORT,Year: 2022,7,20,pink
CBR250RR,SPORT,Year: 2022,8,29,pink
CBR250RR,SPORT,Year: 2022,9,11,pink
CBR250RR,SPORT,Year: 2022,10,7,pink
CBR250RR,SPORT,Year: 2022,11,6,pink
CBR250RR,SPORT,Year: 2022,12,8,pink
CBR250RR,SPORT,Year: 2023,1,9,pink
CBR250RR,SPORT,Year: 2023,2,2,pink
CBR250RR,SPORT,Year: 2023,3,7,pink
CBR250RR,SPORT,Year: 2023,4,2,pink
CBR300R,SPORT,Year: 2022,1,25,pink
CBR300R,SPORT,Year: 2022,2,11,pink
CBR300R,SPORT,Year: 2022,3,18,pink
CBR300R,SPORT,Year: 2022,4,10,pink
CBR300R,SPORT,Year: 2022,5,10,pink
CBR300R,SPORT,Year: 2022,6,9,pink
CBR300R,SPORT,Year: 2022,7,18,pink
CBR300R,SPORT,Year: 2022,8,12,pink
CBR300R,SPORT,Year: 2022,9,36,pink
CBR300R,SPORT,Year: 2022,10,5,pink
CBR300R,SPORT,Year: 2022,11,14,pink
CBR300R,SPORT,Year: 2022,12,10,pink
CBR300R,SPORT,Year: 2023,1,6,pink
CBR300R,SPORT,Year: 2023,2,9,pink
CBR300R,SPORT,Year: 2023,3,7,pink
CBR300R,SPORT,Year: 2023,4,4,pink
CBR300R,SPORT,Year: 2023,5,1,pink
CLICK125,AT,Year: 2022,11,1003,blue
CLICK125,AT,Year: 2022,12,3348,blue
CLICK125,AT,Year: 2023,1,3738,blue
CLICK125,AT,Year: 2023,2,2940,blue
CLICK125,AT,Year: 2023,3,2370,blue
CLICK125,AT,Year: 2023,4,1397,blue
CLICK125,AT,Year: 2023,5,105,blue
CLICK125i,AT,Year: 2022,1,2087,blue
CLICK125i,AT,Year: 2022,2,2839,blue
CLICK125i,AT,Year: 2022,3,3475,blue
CLICK125i,AT,Year: 2022,4,2829,blue
CLICK125i,AT,Year: 2022,5,4158,blue
CLICK125i,AT,Year: 2022,6,3902,blue
CLICK125i,AT,Year: 2022,7,2866,blue
CLICK125i,AT,Year: 2022,8,4154,blue
CLICK125i,AT,Year: 2022,9,2144,blue
CLICK125i,AT,Year: 2022,10,1399,blue
CLICK125i,AT,Year: 2022,11,617,blue
CLICK125i,AT,Year: 2022,12,256,blue
CLICK125i,AT,Year: 2023,1,166,blue
CLICK125i,AT,Year: 2023,2,122,blue
CLICK125i,AT,Year: 2023,3,94,blue
CLICK125i,AT,Year: 2023,4,83,blue
CLICK125i,AT,Year: 2023,5,10,blue
CLICK150i,AT,Year: 2022,1,6703,blue
CLICK150i,AT,Year: 2022,2,7504,blue
CLICK150i,AT,Year: 2022,3,8717,blue
CLICK150i,AT,Year: 2022,4,4063,blue
CLICK150i,AT,Year: 2022,5,2905,blue
CLICK150i,AT,Year: 2022,6,1432,blue
CLICK150i,AT,Year: 2022,7,532,blue
CLICK150i,AT,Year: 2022,8,300,blue
CLICK150i,AT,Year: 2022,9,111,blue
CLICK150i,AT,Year: 2022,10,57,blue
CLICK150i,AT,Year: 2022,11,39,blue
CLICK150i,AT,Year: 2022,12,22,blue
CLICK150i,AT,Year: 2023,1,20,blue
CLICK150i,AT,Year: 2023,2,12,blue
CLICK150i,AT,Year: 2023,3,16,blue
CLICK150i,AT,Year: 2023,4,4,blue
CLICK150i,AT,Year: 2023,5,1,blue
CLICK160,AT,Year: 2022,4,1784,blue
CLICK160,AT,Year: 2022,5,6291,blue
CLICK160,AT,Year: 2022,6,6043,blue
CLICK160,AT,Year: 2022,7,5486,blue
CLICK160,AT,Year: 2022,8,6230,blue
CLICK160,AT,Year: 2022,9,6050,blue
CLICK160,AT,Year: 2022,10,5792,blue
CLICK160,AT,Year: 2022,11,6317,blue
CLICK160,AT,Year: 2022,12,6818,blue
CLICK160,AT,Year: 2023,1,6964,blue
CLICK160,AT,Year: 2023,2,8644,blue
CLICK160,AT,Year: 2023,3,9967,blue
CLICK160,AT,Year: 2023,4,5477,blue
CLICK160,AT,Year: 2023,5,541,blue
CRF250L,SPORT,Year: 2022,1,1,pink
CRF250L,SPORT,Year: 2022,3,2,pink
CRF250L,SPORT,Year: 2022,5,1,pink
CRF250L,SPORT,Year: 2022,6,3,pink
CRF250L,SPORT,Year: 2022,7,1,pink
CRF250L,SPORT,Year: 2023,2,2,pink
CRF250L,SPORT,Year: 2023,3,2,pink
CRF250L,SPORT,Year: 2023,5,7,pink
CRF250RALLY,SPORT,Year: 2022,1,4,pink
CRF250RALLY,SPORT,Year: 2022,2,4,pink
CRF250RALLY,SPORT,Year: 2022,3,1,pink
CRF250RALLY,SPORT,Year: 2022,4,3,pink
CRF250RALLY,SPORT,Year: 2022,6,7,pink
CRF250RALLY,SPORT,Year: 2022,7,3,pink
CRF250RALLY,SPORT,Year: 2022,8,3,pink
CRF250RALLY,SPORT,Year: 2022,9,1,pink
CRF250RALLY,SPORT,Year: 2022,10,2,pink
CRF250RALLY,SPORT,Year: 2022,11,1,pink
CRF250RALLY,SPORT,Year: 2022,12,1,pink
CRF250RALLY,SPORT,Year: 2023,2,1,pink
CRF300L,SPORT,Year: 2022,1,697,pink
CRF300L,SPORT,Year: 2022,2,603,pink
CRF300L,SPORT,Year: 2022,3,697,pink
CRF300L,SPORT,Year: 2022,4,488,pink
CRF300L,SPORT,Year: 2022,5,391,pink
CRF300L,SPORT,Year: 2022,6,140,pink
CRF300L,SPORT,Year: 2022,7,77,pink
CRF300L,SPORT,Year: 2022,8,710,pink
CRF300L,SPORT,Year: 2022,9,660,pink
CRF300L,SPORT,Year: 2022,10,724,pink
CRF300L,SPORT,Year: 2022,11,620,pink
CRF300L,SPORT,Year: 2022,12,622,pink
CRF300L,SPORT,Year: 2023,1,631,pink
CRF300L,SPORT,Year: 2023,2,515,pink
CRF300L,SPORT,Year: 2023,3,276,pink
CRF300L,SPORT,Year: 2023,4,367,pink
CRF300L,SPORT,Year: 2023,5,34,pink
CRF300RALLY,SPORT,Year: 2022,1,39,pink
CRF300RALLY,SPORT,Year: 2022,2,21,pink
CRF300RALLY,SPORT,Year: 2022,3,13,pink
CRF300RALLY,SPORT,Year: 2022,4,7,pink
CRF300RALLY,SPORT,Year: 2022,5,19,pink
CRF300RALLY,SPORT,Year: 2022,6,12,pink
CRF300RALLY,SPORT,Year: 2022,7,5,pink
CRF300RALLY,SPORT,Year: 2022,8,2,pink
CRF300RALLY,SPORT,Year: 2022,9,1,pink
CRF300RALLY,SPORT,Year: 2022,12,29,pink
CRF300RALLY,SPORT,Year: 2023,1,58,pink
CRF300RALLY,SPORT,Year: 2023,2,38,pink
CRF300RALLY,SPORT,Year: 2023,3,20,pink
CRF300RALLY,SPORT,Year: 2023,4,20,pink
CRF300RALLY,SPORT,Year: 2023,5,2,pink
DREAM110i,FAMILY,Year: 2022,6,1,orange
DREAM110i,FAMILY,Year: 2022,11,1,orange
FORZA300,AT,Year: 2022,1,20,blue
FORZA300,AT,Year: 2022,2,31,blue
FORZA300,AT,Year: 2022,3,27,blue
FORZA300,AT,Year: 2022,4,21,blue
FORZA300,AT,Year: 2022,5,10,blue
FORZA300,AT,Year: 2022,6,13,blue
FORZA300,AT,Year: 2022,7,4,blue
FORZA300,AT,Year: 2022,8,8,blue
FORZA300,AT,Year: 2022,9,6,blue
FORZA300,AT,Year: 2022,10,6,blue
FORZA300,AT,Year: 2022,11,4,blue
FORZA300,AT,Year: 2022,12,1,blue
FORZA300,AT,Year: 2023,1,3,blue
FORZA300,AT,Year: 2023,2,2,blue
FORZA300,AT,Year: 2023,4,2,blue
FORZA350,AT,Year: 2022,1,1804,blue
FORZA350,AT,Year: 2022,2,1346,blue
FORZA350,AT,Year: 2022,3,2352,blue
FORZA350,AT,Year: 2022,4,1441,blue
FORZA350,AT,Year: 2022,5,2112,blue
FORZA350,AT,Year: 2022,6,1933,blue
FORZA350,AT,Year: 2022,7,2103,blue
FORZA350,AT,Year: 2022,8,2186,blue
FORZA350,AT,Year: 2022,9,1586,blue
FORZA350,AT,Year: 2022,10,1208,blue
FORZA350,AT,Year: 2022,11,2518,blue
FORZA350,AT,Year: 2022,12,2043,blue
FORZA350,AT,Year: 2023,1,2230,blue
FORZA350,AT,Year: 2023,2,2194,blue
FORZA350,AT,Year: 2023,3,3211,blue
FORZA350,AT,Year: 2023,4,1605,blue
FORZA350,AT,Year: 2023,5,173,blue
LEAD125,AT,Year: 2022,1,2612,blue
LEAD125,AT,Year: 2022,2,2476,blue
LEAD125,AT,Year: 2022,3,2641,blue
LEAD125,AT,Year: 2022,4,2638,blue
LEAD125,AT,Year: 2022,5,5015,blue
LEAD125,AT,Year: 2022,6,5353,blue
LEAD125,AT,Year: 2022,7,2165,blue
LEAD125,AT,Year: 2022,8,2394,blue
LEAD125,AT,Year: 2022,9,1468,blue
LEAD125,AT,Year: 2022,10,763,blue
LEAD125,AT,Year: 2022,11,738,blue
LEAD125,AT,Year: 2022,12,1277,blue
LEAD125,AT,Year: 2023,1,2483,blue
LEAD125,AT,Year: 2023,2,3671,blue
LEAD125,AT,Year: 2023,3,6110,blue
LEAD125,AT,Year: 2023,4,4952,blue
LEAD125,AT,Year: 2023,5,450,blue
MOOVE,AT,Year: 2022,1,1,blue
MOOVE,AT,Year: 2022,2,1,blue
MOOVE,AT,Year: 2022,3,1,blue
MOOVE,AT,Year: 2022,5,4,blue
MOOVE,AT,Year: 2022,6,1,blue
MOOVE,AT,Year: 2022,7,2,blue
MOOVE,AT,Year: 2022,8,1,blue
MSX GROM,SPORT,Year: 2022,1,293,pink
MSX GROM,SPORT,Year: 2022,2,241,pink
MSX GROM,SPORT,Year: 2022,3,203,pink
MSX GROM,SPORT,Year: 2022,4,158,pink
MSX GROM,SPORT,Year: 2022,5,219,pink
MSX GROM,SPORT,Year: 2022,6,124,pink
MSX GROM,SPORT,Year: 2022,7,100,pink
MSX GROM,SPORT,Year: 2022,8,60,pink
MSX GROM,SPORT,Year: 2022,9,33,pink
MSX GROM,SPORT,Year: 2022,10,32,pink
MSX GROM,SPORT,Year: 2022,11,83,pink
MSX GROM,SPORT,Year: 2022,12,94,pink
MSX GROM,SPORT,Year: 2023,1,133,pink
MSX GROM,SPORT,Year: 2023,2,198,pink
MSX GROM,SPORT,Year: 2023,3,115,pink
MSX GROM,SPORT,Year: 2023,4,55,pink
MSX GROM,SPORT,Year: 2023,5,13,pink
MSX125,SPORT,Year: 2022,1,3,pink
MSX125,SPORT,Year: 2022,2,1,pink
MSX125,SPORT,Year: 2022,3,6,pink
MSX125,SPORT,Year: 2022,4,2,pink
MSX125,SPORT,Year: 2022,6,3,pink
MSX125,SPORT,Year: 2022,8,2,pink
MSX125,SPORT,Year: 2022,9,2,pink
MSX125,SPORT,Year: 2022,10,1,pink
MSX125,SPORT,Year: 2022,11,2,pink
MSX125,SPORT,Year: 2022,12,1,pink
MSX125,SPORT,Year: 2023,2,1,pink
MSX125SF,SPORT,Year: 2022,1,82,pink
MSX125SF,SPORT,Year: 2022,2,113,pink
MSX125SF,SPORT,Year: 2022,3,100,pink
MSX125SF,SPORT,Year: 2022,4,73,pink
MSX125SF,SPORT,Year: 2022,5,100,pink
MSX125SF,SPORT,Year: 2022,6,86,pink
MSX125SF,SPORT,Year: 2022,7,60,pink
MSX125SF,SPORT,Year: 2022,8,64,pink
MSX125SF,SPORT,Year: 2022,9,49,pink
MSX125SF,SPORT,Year: 2022,10,32,pink
MSX125SF,SPORT,Year: 2022,11,21,pink
MSX125SF,SPORT,Year: 2022,12,6,pink
MSX125SF,SPORT,Year: 2023,1,10,pink
MSX125SF,SPORT,Year: 2023,2,15,pink
MSX125SF,SPORT,Year: 2023,3,14,pink
MSX125SF,SPORT,Year: 2023,4,9,pink
MSX125SF,SPORT,Year: 2023,5,1,pink
OTHER-HONDA,OTHER,Year: 2022,1,27,grey
OTHER-HONDA,OTHER,Year: 2022,2,15,grey
OTHER-HONDA,OTHER,Year: 2022,3,26,grey
OTHER-HONDA,OTHER,Year: 2022,4,20,grey
OTHER-HONDA,OTHER,Year: 2022,5,65,grey
OTHER-HONDA,OTHER,Year: 2022,6,36,grey
OTHER-HONDA,OTHER,Year: 2022,7,24,grey
OTHER-HONDA,OTHER,Year: 2022,8,28,grey
OTHER-HONDA,OTHER,Year: 2022,9,39,grey
OTHER-HONDA,OTHER,Year: 2022,10,17,grey
OTHER-HONDA,OTHER,Year: 2022,11,10,grey
OTHER-HONDA,OTHER,Year: 2022,12,31,grey
OTHER-HONDA,OTHER,Year: 2023,1,26,grey
OTHER-HONDA,OTHER,Year: 2023,2,26,grey
OTHER-HONDA,OTHER,Year: 2023,3,56,grey
OTHER-HONDA,OTHER,Year: 2023,4,10,grey
OTHER-HONDA,OTHER,Year: 2023,5,2,grey
PCX e:HEV,AT,Year: 2022,1,131,blue
PCX e:HEV,AT,Year: 2022,2,125,blue
PCX e:HEV,AT,Year: 2022,3,153,blue
PCX e:HEV,AT,Year: 2022,4,133,blue
PCX e:HEV,AT,Year: 2022,5,148,blue
PCX e:HEV,AT,Year: 2022,6,145,blue
PCX e:HEV,AT,Year: 2022,7,45,blue
PCX e:HEV,AT,Year: 2022,8,16,blue
PCX e:HEV,AT,Year: 2022,9,44,blue
PCX e:HEV,AT,Year: 2022,10,17,blue
PCX e:HEV,AT,Year: 2022,11,87,blue
PCX e:HEV,AT,Year: 2022,12,168,blue
PCX e:HEV,AT,Year: 2023,1,268,blue
PCX e:HEV,AT,Year: 2023,2,156,blue
PCX e:HEV,AT,Year: 2023,3,115,blue
PCX e:HEV,AT,Year: 2023,4,165,blue
PCX e:HEV,AT,Year: 2023,5,4,blue
PCX HYBRID,AT,Year: 2022,1,5,blue
PCX HYBRID,AT,Year: 2022,2,3,blue
PCX HYBRID,AT,Year: 2022,3,3,blue
PCX HYBRID,AT,Year: 2022,4,1,blue
PCX HYBRID,AT,Year: 2022,5,3,blue
PCX HYBRID,AT,Year: 2022,6,2,blue
PCX HYBRID,AT,Year: 2022,7,3,blue
PCX HYBRID,AT,Year: 2022,8,1,blue
PCX HYBRID,AT,Year: 2022,10,1,blue
PCX HYBRID,AT,Year: 2022,11,2,blue
PCX HYBRID,AT,Year: 2023,1,2,blue
PCX HYBRID,AT,Year: 2023,2,1,blue
PCX150,AT,Year: 2022,1,5,blue
PCX150,AT,Year: 2022,2,9,blue
PCX150,AT,Year: 2022,3,5,blue
PCX150,AT,Year: 2022,4,4,blue
PCX150,AT,Year: 2022,5,15,blue
PCX150,AT,Year: 2022,6,14,blue
PCX150,AT,Year: 2022,7,3,blue
PCX150,AT,Year: 2022,8,3,blue
PCX150,AT,Year: 2022,9,8,blue
PCX150,AT,Year: 2022,10,2,blue
PCX150,AT,Year: 2022,11,1,blue
PCX150,AT,Year: 2022,12,2,blue
PCX150,AT,Year: 2023,2,2,blue
PCX150,AT,Year: 2023,3,7,blue
PCX150,AT,Year: 2023,4,1,blue
PCX160,AT,Year: 2022,1,11048,blue
PCX160,AT,Year: 2022,2,11876,blue
PCX160,AT,Year: 2022,3,13551,blue
PCX160,AT,Year: 2022,4,10939,blue
PCX160,AT,Year: 2022,5,13749,blue
PCX160,AT,Year: 2022,6,16545,blue
PCX160,AT,Year: 2022,7,10041,blue
PCX160,AT,Year: 2022,8,13906,blue
PCX160,AT,Year: 2022,9,12795,blue
PCX160,AT,Year: 2022,10,10881,blue
PCX160,AT,Year: 2022,11,12423,blue
PCX160,AT,Year: 2022,12,12676,blue
PCX160,AT,Year: 2023,1,14181,blue
PCX160,AT,Year: 2023,2,15167,blue
PCX160,AT,Year: 2023,3,14889,blue
PCX160,AT,Year: 2023,4,9901,blue
PCX160,AT,Year: 2023,5,800,blue
REBEL300,SPORT,Year: 2022,1,42,pink
REBEL300,SPORT,Year: 2022,2,49,pink
REBEL300,SPORT,Year: 2022,3,36,pink
REBEL300,SPORT,Year: 2022,4,32,pink
REBEL300,SPORT,Year: 2022,5,52,pink
REBEL300,SPORT,Year: 2022,6,38,pink
REBEL300,SPORT,Year: 2022,7,22,pink
REBEL300,SPORT,Year: 2022,8,32,pink
REBEL300,SPORT,Year: 2022,9,17,pink
REBEL300,SPORT,Year: 2022,10,14,pink
REBEL300,SPORT,Year: 2022,11,9,pink
REBEL300,SPORT,Year: 2022,12,36,pink
REBEL300,SPORT,Year: 2023,1,81,pink
REBEL300,SPORT,Year: 2023,2,76,pink
REBEL300,SPORT,Year: 2023,3,54,pink
REBEL300,SPORT,Year: 2023,4,28,pink
REBEL300,SPORT,Year: 2023,5,4,pink
SCOOPY i,AT,Year: 2022,1,18193,blue
SCOOPY i,AT,Year: 2022,2,21732,blue
SCOOPY i,AT,Year: 2022,3,17100,blue
SCOOPY i,AT,Year: 2022,4,10166,blue
SCOOPY i,AT,Year: 2022,5,16042,blue
SCOOPY i,AT,Year: 2022,6,13446,blue
SCOOPY i,AT,Year: 2022,7,2985,blue
SCOOPY i,AT,Year: 2022,8,13720,blue
SCOOPY i,AT,Year: 2022,9,16334,blue
SCOOPY i,AT,Year: 2022,10,17577,blue
SCOOPY i,AT,Year: 2022,11,19882,blue
SCOOPY i,AT,Year: 2022,12,19310,blue
SCOOPY i,AT,Year: 2023,1,21271,blue
SCOOPY i,AT,Year: 2023,2,22575,blue
SCOOPY i,AT,Year: 2023,3,24901,blue
SCOOPY i,AT,Year: 2023,4,14523,blue
SCOOPY i,AT,Year: 2023,5,1338,blue
SUPER CUB,FAMILY,Year: 2022,1,1014,orange
SUPER CUB,FAMILY,Year: 2022,2,1741,orange
SUPER CUB,FAMILY,Year: 2022,3,1515,orange
SUPER CUB,FAMILY,Year: 2022,4,868,orange
SUPER CUB,FAMILY,Year: 2022,5,732,orange
SUPER CUB,FAMILY,Year: 2022,6,308,orange
SUPER CUB,FAMILY,Year: 2022,7,95,orange
SUPER CUB,FAMILY,Year: 2022,8,65,orange
SUPER CUB,FAMILY,Year: 2022,9,694,orange
SUPER CUB,FAMILY,Year: 2022,10,826,orange
SUPER CUB,FAMILY,Year: 2022,11,2593,orange
SUPER CUB,FAMILY,Year: 2022,12,2061,orange
SUPER CUB,FAMILY,Year: 2023,1,2588,orange
SUPER CUB,FAMILY,Year: 2023,2,2022,orange
SUPER CUB,FAMILY,Year: 2023,3,1959,orange
SUPER CUB,FAMILY,Year: 2023,4,1232,orange
SUPER CUB,FAMILY,Year: 2023,5,122,orange
WAVE110i,FAMILY,Year: 2022,1,46591,orange
WAVE110i,FAMILY,Year: 2022,2,39841,orange
WAVE110i,FAMILY,Year: 2022,3,34975,orange
WAVE110i,FAMILY,Year: 2022,4,33309,orange
WAVE110i,FAMILY,Year: 2022,5,43180,orange
WAVE110i,FAMILY,Year: 2022,6,54773,orange
WAVE110i,FAMILY,Year: 2022,7,48355,orange
WAVE110i,FAMILY,Year: 2022,8,56261,orange
WAVE110i,FAMILY,Year: 2022,9,50406,orange
WAVE110i,FAMILY,Year: 2022,10,45061,orange
WAVE110i,FAMILY,Year: 2022,11,46889,orange
WAVE110i,FAMILY,Year: 2022,12,42008,orange
WAVE110i,FAMILY,Year: 2023,1,45052,orange
WAVE110i,FAMILY,Year: 2023,2,44039,orange
WAVE110i,FAMILY,Year: 2023,3,52359,orange
WAVE110i,FAMILY,Year: 2023,4,36684,orange
WAVE110i,FAMILY,Year: 2023,5,3220,orange
WAVE125i,FAMILY,Year: 2022,1,21094,orange
WAVE125i,FAMILY,Year: 2022,2,24006,orange
WAVE125i,FAMILY,Year: 2022,3,29021,orange
WAVE125i,FAMILY,Year: 2022,4,23290,orange
WAVE125i,FAMILY,Year: 2022,5,28117,orange
WAVE125i,FAMILY,Year: 2022,6,25603,orange
WAVE125i,FAMILY,Year: 2022,7,22031,orange
WAVE125i,FAMILY,Year: 2022,8,23598,orange
WAVE125i,FAMILY,Year: 2022,9,17869,orange
WAVE125i,FAMILY,Year: 2022,10,15851,orange
WAVE125i,FAMILY,Year: 2022,11,20873,orange
WAVE125i,FAMILY,Year: 2022,12,20293,orange
WAVE125i,FAMILY,Year: 2023,1,25026,orange
WAVE125i,FAMILY,Year: 2023,2,22515,orange
WAVE125i,FAMILY,Year: 2023,3,23536,orange
WAVE125i,FAMILY,Year: 2023,4,16475,orange
WAVE125i,FAMILY,Year: 2023,5,1352,orange
ZOOMER-X,AT,Year: 2022,1,461,blue
ZOOMER-X,AT,Year: 2022,2,489,blue
ZOOMER-X,AT,Year: 2022,3,466,blue
ZOOMER-X,AT,Year: 2022,4,308,blue
ZOOMER-X,AT,Year: 2022,5,286,blue
ZOOMER-X,AT,Year: 2022,6,215,blue
ZOOMER-X,AT,Year: 2022,7,71,blue
ZOOMER-X,AT,Year: 2022,8,39,blue
ZOOMER-X,AT,Year: 2022,9,19,blue
ZOOMER-X,AT,Year: 2022,10,160,blue
ZOOMER-X,AT,Year: 2022,11,501,blue
ZOOMER-X,AT,Year: 2022,12,476,blue
ZOOMER-X,AT,Year: 2023,1,491,blue
ZOOMER-X,AT,Year: 2023,2,644,blue
ZOOMER-X,AT,Year: 2023,3,728,blue
ZOOMER-X,AT,Year: 2023,4,383,blue
ZOOMER-X,AT,Year: 2023,5,34,blue
